Wavelen	Phinorm
400	1.184814E+00
405	1.232131E+00
410	1.259993E+00
415	1.322101E+00
420	1.350918E+00
425	1.367293E+00
430	1.424359E+00
435	1.464507E+00
440	1.473699E+00
445	1.404957E+00
450	1.308902E+00
455	1.256875E+00
460	1.229085E+00
465	1.203080E+00
470	1.155233E+00
475	1.090792E+00
480	1.028325E+00
485	9.859095E-01
490	9.421592E-01
495	8.959184E-01
500	8.565285E-01
505	8.033128E-01
510	7.462244E-01
515	6.825944E-01
520	6.351231E-01
525	5.954569E-01
530	5.634374E-01
535	5.320008E-01
540	5.053269E-01
545	4.760038E-01
550	4.330312E-01
555	4.139565E-01
560	3.641564E-01
565	3.486806E-01
570	3.278364E-01
575	3.174412E-01
580	3.202543E-01
585	3.233738E-01
590	3.195394E-01
595	3.100057E-01
600	2.941680E-01
605	2.964926E-01
610	3.217920E-01
615	3.480566E-01
620	3.687880E-01
625	3.748394E-01
630	3.800508E-01
635	3.879484E-01
640	3.819093E-01
645	3.822236E-01
650	3.983576E-01
655	4.506113E-01
660	5.858815E-01
665	7.724778E-01
670	9.454386E-01
675	1.002355E+00
680	9.211609E-01
685	7.117843E-01
690	4.625617E-01
695	2.759840E-01
700	1.573517E-01
