WL	AG	ACHL	ANAP	BP	BB
  400.      0.8246      0.1877      0.7016      9.2099      0.1502
  405.      0.7521      0.1952      0.6682      9.1529      0.1491
  410.      0.6860      0.1996      0.6365      9.0969      0.1480
  415.      0.6257      0.2094      0.6063      9.0420      0.1470
  420.      0.5707      0.2140      0.5776      8.9880      0.1460
  425.      0.5205      0.2166      0.5503      8.9349      0.1450
  430.      0.4748      0.2256      0.5243      8.8829      0.1440
  435.      0.4331      0.2320      0.4996      8.8317      0.1430
  440.      0.3950      0.2335      0.4761      8.7813      0.1421
  445.      0.3603      0.2226      0.4537      8.7319      0.1412
  450.      0.3286      0.2074      0.4324      8.6832      0.1403
  455.      0.2997      0.1991      0.4122      8.6354      0.1395
  460.      0.2734      0.1947      0.3930      8.5883      0.1386
  465.      0.2494      0.1906      0.3747      8.5420      0.1378
  470.      0.2274      0.1830      0.3573      8.4965      0.1369
  475.      0.2074      0.1728      0.3407      8.4516      0.1362
  480.      0.1892      0.1629      0.3249      8.4075      0.1354
  485.      0.1726      0.1562      0.3099      8.3640      0.1346
  490.      0.1574      0.1493      0.2957      8.3212      0.1339
  495.      0.1436      0.1419      0.2821      8.2791      0.1331
  500.      0.1310      0.1357      0.2692      8.2376      0.1324
  505.      0.1194      0.1273      0.2569      8.1967      0.1317
  510.      0.1089      0.1182      0.2453      8.1565      0.1310
  515.      0.0994      0.1081      0.2342      8.1168      0.1303
  520.      0.0906      0.1006      0.2236      8.0776      0.1296
  525.      0.0827      0.0943      0.2136      8.0391      0.1290
  530.      0.0754      0.0893      0.2040      8.0011      0.1283
  535.      0.0688      0.0843      0.1949      7.9636      0.1277
  540.      0.0627      0.0801      0.1863      7.9267      0.1271
  545.      0.0572      0.0754      0.1780      7.8902      0.1265
  550.      0.0522      0.0686      0.1702      7.8543      0.1258
  555.      0.0476      0.0656      0.1628      7.8188      0.1252
  560.      0.0434      0.0577      0.1557      7.7838      0.1247
  565.      0.0396      0.0552      0.1490      7.7493      0.1241
  570.      0.0361      0.0519      0.1426      7.7152      0.1235
  575.      0.0329      0.0503      0.1365      7.6816      0.1230
  580.      0.0301      0.0507      0.1307      7.6484      0.1224
  585.      0.0274      0.0512      0.1251      7.6157      0.1219
  590.      0.0250      0.0506      0.1199      7.5833      0.1213
  595.      0.0228      0.0491      0.1149      7.5514      0.1208
  600.      0.0208      0.0466      0.1102      7.5199      0.1203
  605.      0.0190      0.0470      0.1057      7.4887      0.1197
  610.      0.0173      0.0510      0.1014      7.4580      0.1192
  615.      0.0158      0.0551      0.0973      7.4276      0.1187
  620.      0.0144      0.0584      0.0934      7.3976      0.1182
  625.      0.0131      0.0594      0.0897      7.3679      0.1177
  630.      0.0120      0.0602      0.0862      7.3387      0.1172
  635.      0.0109      0.0615      0.0828      7.3097      0.1167
  640.      0.0100      0.0605      0.0796      7.2811      0.1163
  645.      0.0091      0.0606      0.0766      7.2528      0.1158
  650.      0.0083      0.0631      0.0737      7.2249      0.1154
  655.      0.0076      0.0714      0.0710      7.1972      0.1149
  660.      0.0069      0.0928      0.0684      7.1699      0.1144
  665.      0.0063      0.1224      0.0659      7.1429      0.1140
  670.      0.0057      0.1498      0.0636      7.1162      0.1135
  675.      0.0052      0.1588      0.0613      7.0898      0.1131
  680.      0.0048      0.1459      0.0592      7.0637      0.1127
  685.      0.0044      0.1128      0.0572      7.0379      0.1123
  690.      0.0040      0.0733      0.0552      7.0123      0.1118
  695.      0.0036      0.0437      0.0534      6.9871      0.1114
  700.      0.0033      0.0249      0.0517      6.9621      0.1110
